country	cluster_size	cumulative_samples
France	11	414
France	12	450
France	14	492
France	15	507
France	17	524
France	19	543
France	23	566
France	27	593
France	31	624
France	33	657
France	38	695
France	51	746
France	71	817
France	75	892
France	88	980
France	105	1085
Estonia	1	2
Jordan	1	3
Canada	1	4
Pakistan	1	146
Pakistan	2	206
Pakistan	3	254
Pakistan	4	286
Pakistan	5	296
Pakistan	6	320
Pakistan	11	331
Pakistan	23	354
Pakistan	46	400
Timor-Leste	1	1
Northern Mariana Islands	1	6
Bangladesh	1	2
Bangladesh	38	40
